CEDULA_ANONIMIZADA;FECHA;CODIGO_EMPRESA;ID_GENERO;ID_ESTADO_CIVIL;FECHA_NACIMIENTO;EDAD;CODIGO_LOCALIDAD;TIPO_NOMINA;FECHA_INGRESO;FECHA_INICIO_CONTRATO;ID_CARGO;TIPO_CARGO;NIVEL_CARGO;CATEGORIA_CARGO;TIPO_AREA;ID_CENTRO_COSTO;SENAL_SINDICALIZADO;CLASE_EMPLEADO;CLASE_NOMINA;SUBSIDIO_TRANSPORTE;PORCENTAJE_RIESGO;SALARIO;COMPENSACION_VARIABLE;PORCENT_COMP_VARIABLE;TOTAL_SALARIO;UBICACION_ANONIMIZADA;FECHA FIN CONTRATO;CAUSA NOMBRE;TIPO DE RETIRO;RETIRO
632;31/01/2019;21;M;SOLTERO;3/11/1990;30;1500;LEY 50 NOMINAL TERMINO FIJO;16/10/2018;16/10/2018;83834;SOPORTE;5;11;PLANTA;250168;N;DIRECTOS DE PRODUCCION;52;S;4.35;1819000;0;0;1819000;2;31/12/2040;NO APLICA;NO APLICA;0
1035;31/01/2019;21;F;SOLTERO;28/07/1995;25;1500;LEY 50 NOMINAL TERMINO FIJO;19/11/2018;19/11/2018;83892;SOPORTE;5;11;ADMINISTRACION;150109;N;ADMINISTRACION CENTRAL;52;S;0.522;2054700;0;0;2054700;2;31/12/2040;NO APLICA;NO APLICA;0
1604;31/01/2019;21;M;CASADO;12/07/1977;43;1500;LEY 50 NOMINAL TERMINO INDEFIN;2/10/2013;2/10/2013;83954;SOPORTE;6;9;PLANTA;250176;N;DIRECTOS DE PRODUCCION;52;S;4.35;1189000;0;0;1189000;2;31/12/2040;NO APLICA;NO APLICA;0
1646;31/01/2019;21;M;CASADO;18/05/1981;39;1500;LEY 50 NOMINAL TERMINO FIJO;2/10/2018;2/10/2018;83834;SOPORTE;5;11;PLANTA;250168;N;DIRECTOS DE PRODUCCION;52;S;4.35;1819000;0;0;1819000;2;31/12/2040;NO APLICA;NO APLICA;0
2026;31/01/2019;41;M;SOLTERO;30/01/1978;42;1520;LEY 50 NOMINAL TERMINO INDEFIN;16/10/2012;16/10/2012;84177;SOPORTE;6;8;PLANTA;220116;N;DIRECTOS DE PRODUCCION;1;S;4.35;1835200;0;0;1835200;9;31/12/2040;NO APLICA;NO APLICA;0
557;31/03/2019;21;M;SOLTERO;15/08/1992;28;1502;LEY 50 NOMINAL TERMINO INDEFIN;12/03/2019;12/03/2019;84498;ADMINISTRATIVO;5;11;ADMINISTRATIVO;320402;N;DIRECTOS DE VENTAS;3;S;1.04;2100000;0;0;2100000;5;31/12/2040;NO APLICA;NO APLICA;0
656;31/03/2019;21;F;SOLTERO;1/05/1991;29;1500;LEY 50 NOMINAL TERMINO INDEFIN;3/05/2018;3/05/2018;83852;COMERCIAL;4;14;COMERCIAL;320363;N;DIRECTOS DE VENTAS;53;S;2436;2146600;1431066.67;40;3577666.67;2;31/12/2040;NO APLICA;NO APLICA;0
1342;31/03/2019;21;F;CASADO;21/12/1980;40;1509;LEY 50 INTEGRAL;23/06/2009;23/06/2009;84418;COMERCIAL;3;16;COMERCIAL;310192;N;DIRECTOS DE VENTAS;53;S;2436;10963800;0;0;10963800;15;31/12/2040;NO APLICA;NO APLICA;0
1439;31/03/2019;21;F;CASADO;25/11/1979;41;1502;LEY 50 INTEGRAL;19/03/2019;19/03/2019;84572;ADMINISTRATIVO;3;17;COMERCIAL;310212;N;DIRECTOS DE VENTAS;12;S;0.522;11000000;0;0;11000000;5;31/12/2040;NO APLICA;NO APLICA;0
1525;30/04/2019;21;M;CASADO;2/06/1977;43;1504;LEY 50 INTEGRAL;19/10/2009;19/10/2009;84418;COMERCIAL;3;16;COMERCIAL;310191;N;DIRECTOS DE VENTAS;3;S;2436;10851500;0;0;10851500;4;31/12/2040;NO APLICA;NO APLICA;0
1704;30/04/2019;21;M;CASADO;23/12/1976;44;1504;LEY 50 NOMINAL TERMINO INDEFIN;8/03/2012;8/03/2012;83827;COMERCIAL;5;12;COMERCIAL;320313;N;DIRECTOS DE VENTAS;3;S;2436;1648900;1099266.67;40;2748166.67;4;31/12/2040;NO APLICA;NO APLICA;0
91;31/12/2019;21;M;SOLTERO;13/07/1991;29;1502;LEY 50 NOMINAL TERMINO INDEFIN;2/12/2019;2/12/2019;84674;ADMINISTRATIVO;4;15;ADMINISTRATIVO;310109;N;ADMINISTRACION CENTRAL;2;S;0.522;5200000;0;0;5200000;5;31/12/2040;NO APLICA;NO APLICA;0
164;31/12/2019;21;F;SOLTERO;19/09/1989;31;1504;LEY 50 NOMINAL TERMINO INDEFIN;2/12/2019;2/12/2019;84673;ADMINISTRATIVO;4;15;ADMINISTRATIVO;110290;N;ADMINISTRACION CENTRAL;2;S;0.522;5300000;0;0;5300000;4;31/12/2040;NO APLICA;NO APLICA;0
184;31/12/2019;21;F;SOLTERO;21/11/1995;25;1502;LEY 50 NOMINAL TERMINO INDEFIN;12/12/2019;12/12/2019;84119;ADMINISTRATIVO;5;13;ADMINISTRATIVO;310125;N;DIRECTOS DE VENTAS;3;S;0.522;3500000;0;0;3500000;5;31/12/2040;NO APLICA;NO APLICA;0
193;31/12/2019;21;F;SOLTERO;5/01/1989;31;1504;LEY 50 NOMINAL TERMINO INDEFIN;9/12/2019;9/12/2019;84400;ADMINISTRATIVO;4;15;ADMINISTRATIVO;110196;N;ADMINISTRACION CENTRAL;2;S;0.522;6400000;0;0;6400000;4;31/12/2040;NO APLICA;NO APLICA;0
1450;31/12/2019;21;F;CASADO;14/12/1983;37;1502;LEY 50 NOMINAL TERMINO INDEFIN;3/12/2019;3/12/2019;84675;ADMINISTRATIVO;4;15;ADMINISTRATIVO;110125;N;ADMINISTRACION CENTRAL;2;S;0.522;4148000;0;0;4148000;5;31/12/2040;NO APLICA;NO APLICA;0
1847;31/12/2019;21;M;CASADO;24/09/1982;38;1502;LEY 50 NOMINAL TERMINO INDEFIN;17/12/2019;17/12/2019;84682;ADMINISTRATIVO;4;14;ADMINISTRATIVO;310130;N;ADMINISTRACION CENTRAL;2;S;0.522;4000000;0;0;4000000;5;31/12/2040;NO APLICA;NO APLICA;0
44;31/01/2020;21;M;SOLTERO;30/10/1999;21;1500;LEY 50 NOMINAL TERMINO FIJO;10/01/2020;10/01/2020;84477;DIRECCION;6;9;PLANTA;250140;N;DIRECTOS DE PRODUCCION;52;S;4.35;1150800;0;0;1150800;2;31/12/2040;NO APLICA;NO APLICA;0
54;31/01/2020;41;F;UNION LIBRE;13/12/1990;30;1520;LEY 50 NOMINAL TERMINO FIJO;7/01/2020;7/01/2020;84219;ADMINISTRATIVO;6;9;ADMINISTRATIVO;110109;N;ADMINISTRACION CENTRAL;2;S;0.522;1241500;0;0;1241500;9;31/12/2040;NO APLICA;NO APLICA;0
100;31/01/2020;21;M;SOLTERO;16/02/1995;25;1502;LEY 50 NOMINAL TERMINO INDEFIN;7/01/2020;7/01/2020;84685;ADMINISTRATIVO;5;13;ADMINISTRATIVO;110291;N;ADMINISTRACION CENTRAL;2;S;0.522;2600000;0;0;2600000;5;31/12/2040;NO APLICA;NO APLICA;0
197;31/01/2020;21;M;SOLTERO;5/03/1990;30;1502;LEY 50 NOMINAL TERMINO INDEFIN;23/01/2020;23/01/2020;84688;ADMINISTRATIVO;4;15;MERCADEO;310118;N;DIRECTOS DE VENTAS;3;S;0.522;6500000;0;0;6500000;5;31/12/2040;NO APLICA;NO APLICA;0
490;31/01/2020;21;F;SOLTERO;25/07/1993;27;1502;LEY 50 NOMINAL TERMINO INDEFIN;2/01/2020;2/01/2020;84686;ADMINISTRATIVO;4;14;COMERCIAL;310125;N;DIRECTOS DE VENTAS;3;S;0.522;3300000;0;0;3300000;5;31/12/2040;NO APLICA;NO APLICA;0
622;31/01/2020;21;M;CASADO;22/07/1997;23;1500;LEY 50 NOMINAL TERMINO FIJO;3/01/2020;3/01/2020;84477;DIRECCION;6;9;PLANTA;250140;N;DIRECTOS DE PRODUCCION;52;S;4.35;1150800;0;0;1150800;2;31/12/2040;NO APLICA;NO APLICA;0
900;31/01/2020;41;F;SOLTERO;29/07/1990;30;1520;LEY 50 NOMINAL TERMINO FIJO;7/01/2020;7/01/2020;84142;ADMINISTRATIVO PLANTA;5;11;PLANTA;110205;N;ADMINISTRACION CENTRAL;2;S;4.35;1921400;0;0;1921400;9;31/12/2040;NO APLICA;NO APLICA;0
1060;31/01/2020;21;M;UNION LIBRE;14/10/1996;24;1500;LEY 50 NOMINAL TERMINO FIJO;3/01/2020;3/01/2020;84477;DIRECCION;6;9;PLANTA;250140;N;DIRECTOS DE PRODUCCION;52;S;4.35;1150800;0;0;1150800;2;31/12/2040;NO APLICA;NO APLICA;0
1817;31/01/2020;21;M;SOLTERO;16/03/1979;41;1502;LEY 50 NOMINAL TERMINO INDEFIN;23/01/2020;23/01/2020;84654;COMERCIAL;4;14;COMERCIAL;320314;N;DIRECTOS DE VENTAS;3;S;0.522;2900000;0;0;2900000;5;31/12/2040;NO APLICA;NO APLICA;0
30;1/03/2020;21;M;CASADO;21/10/1986;34;1500;LEY 50 NOMINAL TERMINO INDEFIN;1/02/2016;29/11/2017;84477;DIRECCION;6;9;PLANTA;250120;N;NO DEFINIDO;0;S;4.35;1150846;1103400;0;2254246;2;31/12/2040;NO APLICA;NO APLICA;0
32;1/03/2020;21;M;SOLTERO;29/09/1998;22;1504;LEY 50 NOMINAL TERMINO INDEFIN;17/10/2018;17/10/2018;83799;DIRECCION;6;9;PLANTA;220144;N;NO DEFINIDO;2;S;4.35;1183300;1140000;0;2323300;4;31/12/2040;NO APLICA;NO APLICA;0
34;1/03/2020;21;M;CASADO;10/11/1983;37;1500;LEY 50 NOMINAL TERMINO INDEFIN;23/08/2016;16/11/2017;84477;DIRECCION;6;9;PLANTA;250120;N;NO DEFINIDO;0;S;4.35;1150846;1103400;0;2254246;2;31/12/2040;NO APLICA;NO APLICA;0
40;1/03/2020;21;M;SOLTERO;23/04/1986;34;1500;LEY 50 NOMINAL TERMINO INDEFIN;7/05/2019;7/05/2019;84600;DIRECCION;5;11;OPERATIVO;250178;N;NO DEFINIDO;52;S;4.35;1891689;1813700;0;3705389;2;31/12/2040;NO APLICA;NO APLICA;0
45;1/03/2020;21;M;SOLTERO;8/01/1998;22;1504;LEY 50 NOMINAL TERMINO INDEFIN;8/02/2017;8/02/2017;83799;DIRECCION;6;9;PLANTA;220144;N;NO DEFINIDO;0;S;2436;1183300;1140000;0;2323300;4;31/12/2040;NO APLICA;NO APLICA;0
46;1/03/2020;21;M;SOLTERO;23/03/2000;20;1500;LEY 50 NOMINAL TERMINO INDEFIN;24/09/2019;24/09/2019;84477;DIRECCION;6;9;PLANTA;250140;N;NO DEFINIDO;52;S;4.35;1150846;1103400;0;2254246;2;31/12/2040;NO APLICA;NO APLICA;0
48;1/03/2020;21;M;SOLTERO;24/04/1999;21;1504;LEY 50 NOMINAL TERMINO INDEFIN;13/11/2019;13/11/2019;84665;DIRECCION;6;10;OPERATIVO;110132;N;NO DEFINIDO;2;S;4.35;1969500;1897400;0;3866900;4;31/12/2040;NO APLICA;NO APLICA;0
51;1/03/2020;41;M;CASADO;19/01/1990;30;1520;LEY 50 NOMINAL TERMINO INDEFIN;4/11/2014;4/11/2014;84233;DIRECCION;6;10;PLANTA;220195;N;NO DEFINIDO;0;S;4.35;1866136;1771200;0;3637336;9;31/12/2040;NO APLICA;NO APLICA;0
67;1/03/2020;41;M;SOLTERO;15/06/1998;22;1520;LEY 50 NOMINAL TERMINO INDEFIN;20/08/2019;20/08/2019;84233;DIRECCION;6;10;PLANTA;220196;N;NO DEFINIDO;1;S;4.35;1866136;1771200;0;3637336;9;31/12/2040;NO APLICA;NO APLICA;0
79;1/03/2020;21;M;CASADO;26/01/1986;34;1504;LEY 50 INTEGRAL;9/12/2019;9/12/2019;84676;ADMINISTRATIVO;3;16;ADMINISTRATIVO;110120;N;NO DEFINIDO;12;S;0.522;11411439;10765508;0;22176947;4;31/12/2040;NO APLICA;NO APLICA;0
82;1/03/2020;21;M;CASADO;5/07/1987;33;1503;LEY 50 NOMINAL TERMINO INDEFIN;15/03/2019;15/03/2019;84303;DIRECCION;5;11;PLANTA;210168;N;NO DEFINIDO;2;S;2436;2654700;2557500;0;5212200;18;31/12/2040;NO APLICA;NO APLICA;0
84;1/03/2020;21;F;CASADO;17/02/1989;31;1502;LEY 50 INTEGRAL;13/08/2018;13/08/2018;84492;ADMINISTRATIVO;3;17;ADMINISTRATIVO;110128;N;NO DEFINIDO;0;S;0.522;15200300;14518000;0;29718300;5;31/12/2040;NO APLICA;NO APLICA;0
85;1/03/2020;21;M;SOLTERO;17/12/1989;31;1504;LEY 50 NOMINAL TERMINO INDEFIN;23/06/2016;23/06/2016;83971;ADMINISTRATIVO PLANTA;5;11;PLANTA;110205;N;NO DEFINIDO;0;S;0.522;2184000;2098000;0;4282000;4;31/12/2040;NO APLICA;NO APLICA;0
87;1/03/2020;21;F;CASADO;1/02/1990;30;1502;LEY 50 NOMINAL TERMINO INDEFIN;8/01/2019;8/01/2019;84526;ADMINISTRATIVO;6;9;ADMINISTRATIVO;310215;N;NO DEFINIDO;3;S;0.522;1660800;1600000;0;3260800;5;31/12/2040;NO APLICA;NO APLICA;0
89;1/03/2020;21;F;CASADO;22/10/1990;30;1502;LEY 50 NOMINAL TERMINO INDEFIN;12/01/2016;12/01/2016;84506;ADMINISTRATIVO;5;13;ADMINISTRATIVO;110105;N;NO DEFINIDO;0;S;0.522;2852600;2696200;0;5548800;5;31/12/2040;NO APLICA;NO APLICA;0
94;1/03/2020;21;F;SOLTERO;9/07/1992;28;1504;LEY 50 NOMINAL TERMINO INDEFIN;7/02/2017;7/02/2017;83820;ADMINISTRATIVO;5;13;ADMINISTRATIVO;110142;N;NO DEFINIDO;0;S;0.522;3300000;2996700;0;6296700;4;31/12/2040;NO APLICA;NO APLICA;0
96;1/03/2020;21;F;UNION LIBRE;3/05/1993;27;1504;LEY 50 NOMINAL TERMINO INDEFIN;15/10/2019;15/10/2019;84658;ADMINISTRATIVO;5;11;ADMINISTRATIVO;110191;N;NO DEFINIDO;2;S;0.522;1873800;1800000;0;3673800;4;31/12/2040;NO APLICA;NO APLICA;0
97;1/03/2020;21;M;SOLTERO;12/02/1994;26;1504;LEY 50 NOMINAL TERMINO FIJO;5/01/2015;5/01/2015;83848;ADMINISTRATIVO PLANTA;5;11;PLANTA;220176;N;NO DEFINIDO;0;S;4.35;2749900;2649200;0;5399100;4;31/12/2040;NO APLICA;NO APLICA;0
98;1/03/2020;21;M;SOLTERO;12/04/1994;26;1504;LEY 50 NOMINAL TERMINO INDEFIN;16/03/2018;16/03/2018;84567;ADMINISTRATIVO;5;12;ADMINISTRATIVO;110109;N;NO DEFINIDO;0;S;0.522;3015300;2850000;0;5865300;4;31/12/2040;NO APLICA;NO APLICA;0
105;1/03/2020;21;F;UNION LIBRE;13/10/1986;34;1504;LEY 50 NOMINAL TERMINO INDEFIN;17/03/2014;17/03/2014;83878;ADMINISTRATIVO;5;12;ADMINISTRATIVO;110126;N;NO DEFINIDO;0;S;0.522;2632900;2529200;0;5162100;4;31/12/2040;NO APLICA;NO APLICA;0
106;1/03/2020;21;F;UNION LIBRE;28/12/1986;34;1504;LEY 50 NOMINAL TERMINO INDEFIN;16/07/2012;16/07/2012;84131;ADMINISTRATIVO;3;16;ADMINISTRATIVO;110120;N;NO DEFINIDO;0;S;0.522;6909000;6500000;0;13409000;4;31/12/2040;NO APLICA;NO APLICA;0
107;1/03/2020;21;F;SOLTERO;11/12/1987;33;1504;LEY 50 NOMINAL TERMINO INDEFIN;1/11/2016;1/11/2016;84053;ADMINISTRATIVO;5;12;ADMINISTRATIVO;110401;N;NO DEFINIDO;0;S;0.522;2724800;2610000;0;5334800;4;31/12/2040;NO APLICA;NO APLICA;0
109;1/03/2020;21;M;CASADO;9/04/1988;32;1504;LEY 50 NOMINAL TERMINO FIJO;3/03/2014;3/03/2014;83806;DIRECCION;6;10;PLANTA;220144;N;NO DEFINIDO;0;S;4.35;1743000;1679200;0;3422200;4;31/12/2040;NO APLICA;NO APLICA;0
113;1/03/2020;21;M;SOLTERO;19/02/1989;31;1503;LEY 50 NOMINAL TERMINO INDEFIN;14/11/2017;14/11/2017;84102;ADMINISTRATIVO;5;11;ADMINISTRATIVO;110406;N;NO DEFINIDO;0;S;4.35;2019500;1945600;0;3965100;18;31/12/2040;NO APLICA;NO APLICA;0
114;1/03/2020;21;M;UNION LIBRE;30/09/1988;32;1504;LEY 50 NOMINAL TERMINO INDEFIN;1/02/2018;1/02/2018;83799;DIRECCION;6;9;PLANTA;220144;N;NO DEFINIDO;0;S;4.35;1183300;1140000;0;2323300;4;31/12/2040;NO APLICA;NO APLICA;0
116;1/03/2020;21;M;SOLTERO;21/08/1990;30;1504;LEY 50 NOMINAL TERMINO INDEFIN;18/11/2019;18/11/2019;84667;ADMINISTRATIVO;5;11;ADMINISTRATIVO;110290;N;NO DEFINIDO;2;S;0.522;1570500;1500000;0;3070500;4;31/12/2040;NO APLICA;NO APLICA;0
118;1/03/2020;21;F;SOLTERO;1/08/1991;29;1502;LEY 50 NOMINAL TERMINO INDEFIN;24/04/2019;24/04/2019;84469;ADMINISTRATIVO;4;14;ADMINISTRATIVO;110108;N;NO DEFINIDO;2;S;0.522;3778300;3629500;0;7407800;5;31/12/2040;NO APLICA;NO APLICA;0
119;1/03/2020;21;M;SOLTERO;15/07/1992;28;1504;LEY 50 NOMINAL TERMINO INDEFIN;11/04/2019;11/04/2019;83943;ADMINISTRATIVO;4;15;ADMINISTRATIVO;110213;N;NO DEFINIDO;2;S;0.522;5205000;5000000;0;10205000;4;31/12/2040;NO APLICA;NO APLICA;0
121;1/03/2020;21;M;CASADO;12/04/1993;27;1504;LEY 50 NOMINAL TERMINO INDEFIN;5/07/2017;5/07/2017;83806;DIRECCION;6;10;PLANTA;220144;N;NO DEFINIDO;0;S;0.522;1743000;1679200;0;3422200;4;31/12/2040;NO APLICA;NO APLICA;0
129;1/03/2020;21;M;UNION LIBRE;20/09/1997;23;1504;LEY 50 NOMINAL TERMINO INDEFIN;1/11/2018;1/11/2018;83799;DIRECCION;6;9;PLANTA;220144;N;NO DEFINIDO;2;S;4.35;1183300;1140000;0;2323300;4;31/12/2040;NO APLICA;NO APLICA;0
134;1/03/2020;21;M;SOLTERO;24/05/1999;21;1504;LEY 50 NOMINAL TERMINO INDEFIN;22/04/2019;22/04/2019;83925;ADMINISTRATIVO;6;9;ADMINISTRATIVO;310110;N;NO DEFINIDO;3;S;0.522;1457400;1400000;0;2857400;4;31/12/2040;NO APLICA;NO APLICA;0
140;1/03/2020;21;F;SOLTERO;27/11/1989;31;1502;LEY 50 NOMINAL TERMINO INDEFIN;8/04/2019;8/04/2019;84580;ADMINISTRATIVO;5;13;ADMINISTRATIVO;110125;N;NO DEFINIDO;2;S;0.522;2923200;2800000;0;5723200;5;31/12/2040;NO APLICA;NO APLICA;0
144;1/03/2020;21;M;SOLTERO;8/07/1990;30;1504;LEY 50 NOMINAL TERMINO FIJO;19/08/2014;19/08/2014;83818;DIRECCION;6;9;PLANTA;110152;N;NO DEFINIDO;0;S;0.522;1530700;1474700;0;3005400;4;31/12/2040;NO APLICA;NO APLICA;0
147;1/03/2020;21;F;CASADO;30/08/1991;29;1504;LEY 50 NOMINAL TERMINO INDEFIN;22/02/2016;22/02/2016;83878;ADMINISTRATIVO;5;12;ADMINISTRATIVO;110126;N;NO DEFINIDO;0;S;0.522;2605900;2503300;0;5109200;4;31/12/2040;NO APLICA;NO APLICA;0
148;1/03/2020;21;M;CASADO;6/01/1992;28;1504;LEY 50 NOMINAL TERMINO FIJO;5/01/2015;5/01/2015;84039;DIRECCION;6;10;PLANTA;220255;N;NO DEFINIDO;0;S;4.35;1997200;1924100;0;3921300;4;31/12/2040;NO APLICA;NO APLICA;0
152;1/03/2020;21;F;SOLTERO;5/02/1994;26;1502;LEY 50 NOMINAL TERMINO INDEFIN;5/11/2019;5/11/2019;84469;ADMINISTRATIVO;4;14;ADMINISTRATIVO;110108;N;NO DEFINIDO;2;S;0.522;3778300;3629500;0;7407800;5;31/12/2040;NO APLICA;NO APLICA;0
